0.000007, 1
0.000006, 2
0.000005, 3
0.000005, 4
0.000005, 5
0.000022, 6
0.000007, 7
0.000006, 8
0.000006, 9
0.000006, 10
0.000016, 11
0.000016, 12
0.000013, 13
0.000019, 14
0.000032, 15
0.000036, 16
0.000059, 17
0.000106, 18
0.000129, 19
0.000206, 20
0.000330, 21
0.000532, 22
0.000330, 23
0.000410, 24
0.000641, 25
0.001036, 26
0.001594, 27
0.002414, 28
0.003928, 29
0.006300, 30
0.010800, 31
0.017196, 32
0.026803, 33
0.042533, 34
0.069164, 35
0.111719, 36
0.180552, 37
0.292855, 38
0.473031, 39
0.764764, 40
1.297421, 41
2.125727, 42
3.583949, 43
5.937280, 44
9.181220, 45
15.011463, 46
24.023683, 47
37.773690, 48
61.007995, 49
103.461331, 50
165.871276, 51
260.251335, 52
427.599377, 53
668.678774, 54
1096.638336, 55
