0.000005, 1
0.000011, 2
0.000004, 3
0.000004, 4
0.000027, 5
0.000005, 6
0.000005, 7
0.000004, 8
0.000004, 9
0.000005, 10
0.000006, 11
0.000006, 12
0.000005, 13
0.000006, 14
0.000006, 15
0.000005, 16
0.000004, 17
0.000004, 18
0.000004, 19
0.000004, 20
0.000004, 21
0.000004, 22
0.000001, 23
0.000001, 24
0.000001, 25
0.000001, 26
0.000002, 27
0.000002, 28
0.000002, 29
0.000001, 30
0.000001, 31
0.000001, 32
0.000001, 33
0.000001, 34
0.000001, 35
0.000001, 36
0.000001, 37
0.000002, 38
0.000001, 39
0.000001, 40
0.000003, 41
0.000003, 42
0.000001, 43
0.000002, 44
0.000001, 45
0.000002, 46
0.000004, 47
0.000002, 48
0.000002, 49
0.000001, 50
0.000002, 51
0.000001, 52
0.000002, 53
0.000001, 54
0.000002, 55
